2025-01-21 06:43:57 JST [INFO] フェッチ開始: sub_name=move-learn-method, stage=1, endpoint=https://pokeapi.co/api/v2/move-learn-method?limit=100000&offset=0
2025-01-21 06:44:01 JST [DEBUG] GET https://pokeapi.co/api/v2/move-learn-method?limit=100000&offset=0 - status=200
2025-01-21 06:44:01 JST [INFO] 対象アイテム数: 11 件
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='light-ball-egg', url='https://pokeapi.co/api/v2/move-learn-method/6/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='xd-purification', url='https://pokeapi.co/api/v2/move-learn-method/9/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='machine', url='https://pokeapi.co/api/v2/move-learn-method/4/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='level-up', url='https://pokeapi.co/api/v2/move-learn-method/1/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='form-change', url='https://pokeapi.co/api/v2/move-learn-method/10/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='egg', url='https://pokeapi.co/api/v2/move-learn-method/2/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='stadium-surfing-pikachu', url='https://pokeapi.co/api/v2/move-learn-method/5/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='xd-shadow', url='https://pokeapi.co/api/v2/move-learn-method/8/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='colosseum-purification', url='https://pokeapi.co/api/v2/move-learn-method/7/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='tutor', url='https://pokeapi.co/api/v2/move-learn-method/3/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Fetching item='zygarde-cube', url='https://pokeapi.co/api/v2/move-learn-method/11/'
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/6/ - status=200
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00006.json
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/1/ - status=200
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00001.json
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/3/ - status=200
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/4/ - status=200
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00003.json
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00004.json
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/10/ - status=200
2025-01-21 06:44:01 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00010.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/7/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00007.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/5/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00005.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/2/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00002.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/9/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00009.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/11/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00011.json
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] GET https://pokeapi.co/api/v2/move-learn-method/8/ - status=200
2025-01-21 06:44:02 JST [DEBUG] [fetch_and_save] Successfully wrote to C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method\00008.json
2025-01-21 06:44:02 JST [INFO] フェッチ完了: sub_name=move-learn-method (stage=1), dir=C:\Users\ns69a\allpokemon\backend\data\raw\move\move-learn-method
